URL,job_title,level,country,data_exists
https://www.levels.fyi/en-gb/t/accountant/levels/entry-level/locations/australia,Accountant,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/accountant/levels/senior/locations/australia,Accountant,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/data-scientist/locations/australia,Data Scientist,All,Australia,Data available
https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia,Data Scientist,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia,Data Scientist,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/sales-engineer/locations/australia,Sales Engineer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/sales-engineer/levels/entry-level/locations/australia,Sales Engineer,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/sales-engineer/levels/senior/locations/australia,Sales Engineer,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/customer-service-ops/locations/australia,Customer Service Ops,All,Australia,Data available
https://www.levels.fyi/en-gb/t/customer-service-ops/levels/entry-level/locations/australia,Customer Service Ops,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/customer-service-ops/levels/senior/locations/australia,Customer Service Ops,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/graphic-designer/locations/australia,Graphic Designer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/graphic-designer/levels/entry-level/locations/australia,Graphic Designer,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/graphic-designer/levels/senior/locations/australia,Graphic Designer,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/tam/locations/australia,Tam,All,Australia,Data available
https://www.levels.fyi/en-gb/t/tam/levels/entry-level/locations/australia,Tam,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/tam/levels/senior/locations/australia,Tam,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/security-analyst/locations/australia,Security Analyst,All,Australia,Data available
https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,Security Analyst,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,Security Analyst,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/controls-engineer/locations/australia,Controls Engineer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/controls-engineer/levels/entry-level/locations/australia,Controls Engineer,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/controls-engineer/levels/senior/locations/australia,Controls Engineer,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/legal/locations/australia,Legal,All,Australia,Data available
https://www.levels.fyi/en-gb/t/legal/levels/entry-level/locations/australia,Legal,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/legal/levels/senior/locations/australia,Legal,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/management-consultant/locations/australia,Management Consultant,All,Australia,Data available
https://www.levels.fyi/en-gb/t/management-consultant/levels/entry-level/locations/australia,Management Consultant,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/management-consultant/levels/senior/locations/australia,Management Consultant,Senior,Australia,Data available
